price_count;createdAt;updatedAt;accProductId;accPriceTypeId
20;2018-10-27 00:00:00;2018-10-27 00:00:00;3012515;1
790;2018-10-27 00:00:00;2018-10-27 00:00:00;3012516;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012517;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012518;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012519;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012520;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012521;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012522;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012523;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012524;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012525;1
160;2018-10-27 00:00:00;2018-10-27 00:00:00;3012526;1
320;2018-10-27 00:00:00;2018-10-27 00:00:00;3012527;1
470;2018-10-27 00:00:00;2018-10-27 00:00:00;3012528;1
50;2018-10-27 00:00:00;2018-10-27 00:00:00;3012529;1
50;2018-10-27 00:00:00;2018-10-27 00:00:00;3012530;1
50;2018-10-27 00:00:00;2018-10-27 00:00:00;3012531;1
50;2018-10-27 00:00:00;2018-10-27 00:00:00;3012532;1
351;2018-10-27 00:00:00;2018-10-27 00:00:00;3012533;1
122;2018-10-27 00:00:00;2018-10-27 00:00:00;3012534;1
35;2018-10-27 00:00:00;2018-10-27 00:00:00;3012535;1
37;2018-10-27 00:00:00;2018-10-27 00:00:00;3012536;1
690;2018-10-27 00:00:00;2018-10-27 00:00:00;3012537;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012538;1
200;2018-10-27 00:00:00;2018-10-27 00:00:00;3012539;1
380;2018-10-27 00:00:00;2018-10-27 00:00:00;3012540;1
193;2018-10-27 00:00:00;2018-10-27 00:00:00;3012541;1
193;2018-10-27 00:00:00;2018-10-27 00:00:00;3012542;1
190;2018-10-27 00:00:00;2018-10-27 00:00:00;3012543;1
750;2018-10-27 00:00:00;2018-10-27 00:00:00;3012544;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012545;1
550;2018-10-27 00:00:00;2018-10-27 00:00:00;3012546;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012547;1
390;2018-10-27 00:00:00;2018-10-27 00:00:00;3012548;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012549;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012550;1
650;2018-10-27 00:00:00;2018-10-27 00:00:00;3012551;1
39;2018-10-27 00:00:00;2018-10-27 00:00:00;3012552;1
206;2018-10-27 00:00:00;2018-10-27 00:00:00;3012553;1
230;2018-10-27 00:00:00;2018-10-27 00:00:00;3012554;1
230;2018-10-27 00:00:00;2018-10-27 00:00:00;3012555;1
570;2018-10-27 00:00:00;2018-10-27 00:00:00;3012556;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012557;1
550;2018-10-27 00:00:00;2018-10-27 00:00:00;3012558;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012559;1
750;2018-10-27 00:00:00;2018-10-27 00:00:00;3012560;1
850;2018-10-27 00:00:00;2018-10-27 00:00:00;3012561;1
550;2018-10-27 00:00:00;2018-10-27 00:00:00;3012562;1
500;2018-10-27 00:00:00;2018-10-27 00:00:00;3012563;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012564;1
64;2018-10-27 00:00:00;2018-10-27 00:00:00;3012565;1
180;2018-10-27 00:00:00;2018-10-27 00:00:00;3012566;1
225;2018-10-27 00:00:00;2018-10-27 00:00:00;3012567;1
177;2018-10-27 00:00:00;2018-10-27 00:00:00;3012568;1
160;2018-10-27 00:00:00;2018-10-27 00:00:00;3012569;1
180;2018-10-27 00:00:00;2018-10-27 00:00:00;3012570;1
180;2018-10-27 00:00:00;2018-10-27 00:00:00;3012571;1
480;2018-10-27 00:00:00;2018-10-27 00:00:00;3012572;1
390;2018-10-27 00:00:00;2018-10-27 00:00:00;3012573;1
180;2018-10-27 00:00:00;2018-10-27 00:00:00;3012574;1
250;2018-10-27 00:00:00;2018-10-27 00:00:00;3012575;1
250;2018-10-27 00:00:00;2018-10-27 00:00:00;3012576;1
330;2018-10-27 00:00:00;2018-10-27 00:00:00;3012577;1
160;2018-10-27 00:00:00;2018-10-27 00:00:00;3012578;1
80;2018-10-27 00:00:00;2018-10-27 00:00:00;3012579;1
239;2018-10-27 00:00:00;2018-10-27 00:00:00;3012580;1
